Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Abschnitt
210	Germ.Pont. 1	220	1 not.		59	–	(vor dem 09 August 1177)	1177-08-09	1177-08-09	Alexander III.				–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
211	Germ.Pont. 1	220	1 not.		60	–	(vor dem 09 August 1177)	1177-08-09	1177-08-09	Alexander III.				–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
212	Germ.Pont. 1	220	1 not.		61	–	(vor dem 09 August 1177)	1177-08-09	1177-08-09	Alexander III.				–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
213	Germ.Pont. 1	265	3		61	(Venezia)	(vor dem 09 August 1177)	1177-08-09	1177-08-09	Alexander III.	Markgraf Ottokar (IV.) von der Steiermark	Alexander III.		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
214	Germ.Pont. 1	39	129		62	(Venezia)	(vor dem 09 August 1177	1177-08-09	1177-08-09	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)	Alexander III.		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
215	Germ.Pont. 1	28	89		63	–	[1161]	1161-01-01	1161-12-31	Alexander III.	Eberhard, unwürdiger Diener der Kirche von Iuvavum (Salzburg)	Kardinalpriester und Gesandter des apostolischen Stuhls Hildebrand der Basilika der zwölf Apostel (Basilika Santi Apostoli)		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
216	Germ.Pont. 1	28	90		64	–	(1161 ex.)	1161-01-01	1161-12-31	Alexander III.	Eberhard, unwürdiger Diener der Kirche von Iuvavum (Salzburg)	Kardinalpriester und Gesandter des apostolischen Stuhls Hildebrand der Basilika der zwölf Apostel (Basilika Santi Apostoli)		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
217	Germ.Pont. 1	31	97		65	–	(November 1163)	1163-11-01	1163-11-30	Alexander III.	Eberhard, unwürdiger Diener der Kirche von Iuvavum (Salzburg)	Kardinalpriester und Gesandter des apostolischen Stuhls Hildebrand der Basilika der zwölf Apostel (Basilika Santi Apostoli)		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
218	Germ.Pont. 1	199	30		66	–	(1161 ex.)	1161-01-01	1161-12-31	Alexander III.		Kardinaldiakon Giacinto Bobone von Santa Maria in Cosmedin		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
219	Germ.Pont. 1	200	34		67	–	[1163]	1163-01-01	1163-12-31	Alexander III.	Bruder Gerhoch von Reichersberg	Heinrich Kardinalpriester von Santi Nereo e Achilleo		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
220	Germ.Pont. 1	200	35		68	–	[1163]	1163-01-01	1163-12-31	Alexander III.	Bruder Gerhoch von Reichersberg	Kardinäle		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
221	Germ.Pont. 1	201	38		69	–	(1166-1167)	1166-01-01	1167-12-31	Alexander III.	Bruder Gerhoch von Reichersberg: Kardinäle der Heiligen römischen Kirche			–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
222	Germ.Pont. 1	93	14	*	*70	–	[1176]	1176-01-01	1176-12-31	Alexander III.	Abt Irimbert von Admont	Bischof Gualterius von Albano, Gesandter des apostolischen Stuhls		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
223	Germ.Pont. 1	127	16	*	*71	–	[1176]	1176-01-01	1176-12-31	Alexander III.	Bischof Roman (II. von Leibnitz) von Gurk	Bischof Gualterius von Albano, Gesandter des apostolischen Stuhls		–	b) elenchus personarum, quae romanis pontificibus litteras miserunt
224	Germ.Pont. 2,1	76	4		305	Benevento	26 Dezember (1167)	1167-12-26	1167-12-26	Alexander III.	Alexander III.	alle Geistliche in den Gebieten des Anführers der Welfen (Welf VI.?)		11365	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
225	Germ.Pont. 2,1	44	57		305	Benevento	26 Dezember (1167)	1167-12-26	1167-12-26	Alexander III.	Alexander III.	alle Geistliche in den Gebieten des Anführers der Welfen (Welf VI.?)		11365	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
226	Germ.Pont. 2,1	115	17		305	Benevento	26 Dezember (1167)	1167-12-26	1167-12-26	Alexander III.	Alexander III.	alle Geistliche in den Gebieten des Anführers der Welfen (Welf VI.?)		11365	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
227	Germ.Pont. 2,1	24	4		306	Tusculanum	06 März (1171)	1171-03-06	1171-03-06	Alexander III.	Alexander III.	Abt Liutold von Admont		11885	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
228	Germ.Pont. 2,1	95	4		306	Tusculanum	06 März (1171)	1171-03-06	1171-03-06	Alexander III.	Alexander III.	Abt Liutold von Admont		11885	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
229	Germ.Pont. 2,1	66	4		307	Anagni	30 September (1173-74)	1173-09-30	1174-09-30	Alexander III.	Alexander III.	Kapitel vom Kloster St. Peter in Wessobrunn		12322	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
230	Germ.Pont. 2,1	67	5		308	Anagni	30 September (1173-74)	1173-09-30	1174-09-30	Alexander III.	Alexander III.	Kapitel vom Kloster St. Peter in Wessobrunn		12323	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
231	Germ.Pont. 2,1	74	9		309	–	(cr. 1176)	1176-01-01	1176-12-31	Alexander III.	Alexander III.	Abt Rupert von Tegernsee		12755	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
232	Germ.Pont. 2,1	74	10		310	–	(cr. 1176)	1176-01-01	1176-12-31	Alexander III.	Alexander III.	Äbte Rupert von Tegernsee und A. von St. Benedikt		12756	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
233	Germ.Pont. 2,1	77	5		311	Venezia Rialto	23 Mai (1177)	1177-05-23	1177-05-23	Alexander III.	Alexander III.	Abt Konrad und die Brüder von St. Johannes Baptist von Steingaden		12867	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
234	Germ.Pont. 2,1	44	58		311	Venezia Rialto	23 Mai (1177)	1177-05-23	1177-05-23	Alexander III.	Alexander III.	Abt Konrad und die Brüder von St. Johannes Baptist von Steingaden		12867	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
235	Germ.Pont. 2,1	77	6		312	Venezia Rialto	26 Mai (1177)	1177-05-26	1177-05-26	Alexander III.	Alexander III.	Welf VI.		12847	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
236	Germ.Pont. 2,1	45	59		312	Venezia Rialto	26 Mai (1177)	1177-05-26	1177-05-26	Alexander III.	Alexander III.	Welf VI.		12847	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
237	Germ.Pont. 2,1	115	19		312	Venezia Rialto	26 Mai (1177)	1177-05-26	1177-05-26	Alexander III.	Alexander III.	Welf VI.		12847	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
238	Germ.Pont. 2,1	77	7		313	Venezia Rialto	10 Juni (1177)	1177-06-10	1177-06-10	Alexander III.	Alexander III.	Abt (Konrad) und die Brüder von St. Johannes Baptist in Steingaden		12867	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
239	Germ.Pont. 2,1	45	60		313	Venezia Rialto	10 Juni (1177)	1177-06-10	1177-06-10	Alexander III.	Alexander III.	Abt (Konrad) und die Brüder von St. Johannes Baptist von Steingaden		12867	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
240	Germ.Pont. 2,1	78	8		314	Venezia Rialto	14 Juli (1177)	1177-07-14	1177-07-14	Alexander III.	Alexander III.	Bischof Albert von Freising		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
241	Germ.Pont. 2,1	162	3		315	Venezia Rialto	03 August (1177)	1177-08-03	1177-08-03	Alexander III.	Alexander III.	Kleriker Walter von der Ecclesia Leutkirch		12907	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
242	Germ.Pont. 2,1	162	4	*	*316	Venezia	(03 August 1177)	1177-08-03	1177-08-03	Alexander III.	Alexander III.	Priester C.		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
243	Germ.Pont. 2,1	59	9		317	Venezia Rialto	06 August 1177	1177-08-06	1177-08-06	Alexander III.	Alexander III.	Abt Heinrich von St. Ulrich in Augsburg		12909	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
244	Germ.Pont. 2,1	74	11	*	*318	–	[1177]	1177-01-01	1177-12-31	Alexander III.	Alexander III.	Äbte von Ottobeuren und Al(tenburg?) sowie der Probst von Raitenbuch		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
245	Germ.Pont. 2,1	81	3	*	*318	–	[1177]	1177-01-01	1177-12-31	Alexander III.	Alexander III.	Äbte von Ottobeuren und Al(tenburg?) sowie der Probst von Raitenbuch		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
246	Germ.Pont. 2,1	162	5		319	Anagni	04 Januar 1178	1178-01-04	1178-01-04	Alexander III.	Alexander III.	Abt Christianus von St. Maria in Salem		13009	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
247	Germ.Pont. 2,1	194	1		320	Laterano	05 August 1178	1178-08-05	1178-08-05	Alexander III.	Alexander III.	Iudentae electae mon. Silvatensis		13087	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
248	Germ.Pont. 2,1	195	1		321	Laterano	05 August 1178	1178-08-05	1178-08-05	Alexander III.	Alexander III.	Abt Udalreich von St. Maria von Tennenbach		13088	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
249	Germ.Pont. 2,1	61	2	*	*322	–	(post 20 September 1178)	1178-09-20	1178-09-20	Alexander III.	Alexander III.	Scholastiker Sifridus (?) (Mogontin.)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
250	Germ.Pont. 2,1	53	1		323	Tusculanum	24 Oktober 1178	1178-10-24	1178-10-24	Alexander III.	Alexander III.	Kanoniker von St. Moritz in Augsburg		13111	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
251	Germ.Pont. 2,1	179	26		324	Laterano	06 März 1179	1179-03-06	1179-03-06	Alexander III.	Alexander III.	Abt Theodebert von St. Blasien (Schwarzwald)		13318	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
252	Germ.Pont. 2,1	67	6		325	Laterano	07 März (1178-79)	1178-03-07	1179-03-07	Alexander III.	Alexander III.	Abt und Kapitel vom Kloster St. Peter in Wessobrunn		13179	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
253	Germ.Pont. 2,1	105	5		326	Laterano	14 März (1178-79)	1178-03-14	1179-03-14	Alexander III.	Alexander III.	Abt und Kapitel von St. Ulrich in Neresheim		13183	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
254	Germ.Pont. 2,1	204	14		327	Laterano	26 März 1179	1179-03-26	1179-03-26	Alexander III.	Alexander III.	Abt Manegold/Mangold von St. Georg		13342	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
255	Germ.Pont. 2,1	186	7		328	Laterano	30 März 1179	1179-03-30	1179-03-30	Alexander III.	Alexander III.	Prior Bertolfo von St. Petrus in Vilmarszell (de Cella)		13350	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
256	Germ.Pont. 2,1	109	3		329	Laterano	31 März 1179	1179-03-31	1179-03-31	Alexander III.	Alexander III.	Abt Adalbert		13353	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
257	Germ.Pont. 2,1	8	1		330	Laterano	03 April 1179	1179-04-03	1179-04-03	Alexander III.	Alexander III.	Probst Otto		13357	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
258	Germ.Pont. 2,1	67	7		331	Segni	18 September 1179	1179-09-18	1179-09-18	Alexander III.	Alexander III.	Abt Sigibald von Wessobrunn		13473	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
259	Germ.Pont. 2,1	162	6		332	Velletri	01 Mai (1180)	1180-05-01	1180-05-01	Alexander III.	Alexander III.	Bischof Berthold von Konstanz und Abt (Christianus) von Salem		13652	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
260	Germ.Pont. 2,1	140	66		332	Velletri	01 Mai (1180)	1180-05-01	1180-05-01	Alexander III.	Alexander III.	Bischof Berthold von Konstanz und Abt (Christianus) von Salem		13652	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
261	Germ.Pont. 2,1	213	1		333	Viterbo	22 Juli 1181	1181-07-22	1181-07-22	Alexander III.	Alexander III.	Probst Udalreich (Odelrico)		14415	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
262	Germ.Pont. 2,1	10	1	*	*334	–	(1177-1181)	1177-01-01	1181-12-31	Alexander III.	Alexander III.	Iudices in causa inter Bischof Egelolf v. Eichstätt		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
263	Germ.Pont. 2,1	7	17	*	*334	–	(1177-1181)	1177-01-01	1181-12-31	Alexander III.	Iudices in causa inter Bischof Egelolf v. Eichstätt	–		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
264	Germ.Pont. 2,1	158	34	*	*335	–	(1177-1181)	1177-01-01	1181-12-31	Alexander III.	Alexander III.	Abt Diethelm (Augien.)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
265	Germ.Pont. 2,1	186	8	*	*336	–	[1180]	1180-01-01	1180-12-31	Alexander III.	Petrus, Kardinalbischof von Tusculum	Abt Konrad von Parisien. und Scholastiker H. von Straßburg	Eingeklammert	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
266	Germ.Pont. 2,1	76	2		288	Benevento	31 Mai 1156	1156-05-31	1156-05-31	Hadrian IV.	Hadrian IV.	Anselm, Probst des Klosters St. Johann Baptist in Steingaden	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10180	Weitere Alexander-Betreffe
267	Germ.Pont. 2,1	58	8		289	Benevento	01 Juni 1156	1156-06-01	1156-06-01	Hadrian IV.	Hadrian IV.	Hezilo, Abt des Klosters St. Afra in Augsburg	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10181	Weitere Alexander-Betreffe
268	Germ.Pont. 2,1	23	3		301	–	[1157]	1157-01-01	1157-12-31	Hadrian IV.	R(oland), Kardinalpriester (von San Marco)	Schwestern des Klosters St. Maria in Bergen	Eingeklammert	–	Weitere Alexander-Betreffe
269	Germ.Pont. 2,1	21	2		292	Laterano	16 Februar 1157	1157-02-16	1157-02-16	Hadrian IV.	Hadrian IV.	Leopold, Abt des Klosters St. Maria in Ahausen	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10254	Weitere Alexander-Betreffe
270	Germ.Pont. 2,1	177	23		293	Laterano	08 Juni 1157	1157-06-08	1157-06-08	Hadrian IV.	Hadrian IV.	Gunther, Abt des Klosters St. Blasius aus Konstanz	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10290	Weitere Alexander-Betreffe
271	Germ.Pont. 2,1	185	4		295	Anagni	26 September 1157	1157-09-26	1157-09-26	Hadrian IV.	Hadrian IV.	Girard, Prior von St. Petrus in Vilmarszell	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10305	Weitere Alexander-Betreffe
272	Germ.Pont. 2,1	143	1		298	Laterano	29 Januar 1159	1159-01-29	1159-01-29	Hadrian IV.	Hadrian IV.	Folenandus, Probst von St. Stephan in Konstanz	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10539	Weitere Alexander-Betreffe
273	Germ.Pont. 2,1	212	2		300	Laterano	06 April 1159	1159-04-06	1159-04-06	Hadrian IV.	Hadrian IV.	Werner, Abt des Klosters St. Johann Baptist in Konstanz	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10560	Weitere Alexander-Betreffe
274	Germ.Pont. 2,1	90	1		337	St. Jean-de-Losne	07 September (1162)	1162-09-07	1162-09-07	Viktor IV.	Victor IV.	Mönche von Faltenbach		14470	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
275	Germ.Pont. 2,1	203	13		338	Viterbo	08 Februar (1170)	1170-02-08	1170-02-08	Calixt III.	Calixt III.	Bischof Otto von Konstanz, Probst und Dekan sowie jedes Kapitel der Stadt Konstanz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
276	Germ.Pont. 2,1	139	62		338	Viterbo	08 Februar (1170)	1170-02-08	1170-02-08	Calixt III.	Calixt III.	Bischof Otto von Konstanz, Probst und Dekan sowie jedes Kapitel der Stadt Konstanz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
277	Germ.Pont. 2,1	142	9		338	Viterbo	08 Februar (1170)	1170-02-08	1170-02-08	Calixt III.	Calixt III.	Bischof Otto von Konstanz, Probst und Dekan und jedes Kapitel der Stadt Konstanz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
278	Germ.Pont. 2,1	182	2		339	Viterbo	06 März (1170)	1170-03-06	1170-03-06	Calixt III.	Calixt III.	Bischof Otto von Konstanz		14497	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
279	Germ.Pont. 2,1	139	63		339	Viterbo	06 März (1170)	1170-03-06	1170-03-06	Calixt III.	Calixt III.	Bischof Otto von Konstanz		14497	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
280	Germ.Pont. 2,1	185	5	*	*340	–	[1170]	1170-01-01	1170-12-31	Calixt III.	Calixt III.	Prior Berthold von Vilmarszell (de Cella)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
281	Germ.Pont. 2,1	139	64	*	*341	Viterbo	01 Juni 1171	1171-06-01	1171-06-01	Calixt III.	Calixt III.	Ecclesia von Konstanz		*14502	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
282	Germ.Pont. 2,1	142	10	*	*341	Viterbo	01 Juni 1170	1170-06-01	1170-06-01	Calixt III.	Calixt III.	Ecclesia von Konstanz		*14502	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
283	Germ.Pont. 2,1	178	25		342	Foligno	26 April 1173	1173-04-26	1173-04-26	Calixt III.	Calixt III.	Abt Werner von St. Blasien		14504	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
284	Germ.Pont. 2,1	208	4		343	–	(1168-1173?)	1168-01-01	1173-12-31	vermtl. Calixt III.	vermtl. Calixt III.	Abt Radulf von St. Benedikt in Alpirsbach		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
285	Germ.Pont. 2,1	140	65	*	*344	–	(ante 1175)	1175-01-01	1175-12-31	Calixt III.	Calixt III.	(electus) Berthold (Konstanz)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
286	Germ.Pont. 2,1	142	11	*	*345	–	(ante 1175)	1175-01-01	1175-12-31	Calixt III.	Calixt III.	Diakon Ulrich (Olrico) von Konstanz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
287	Germ.Pont. 2,1	185	6		346	–	(cr. 1170)	1170-01-01	1170-12-31	Calixt III.	V(nfredus) s. apost. sedis legatus	Prior Berthold von Vilmarszell (de Cella)	Eingeklammert	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
288	Germ.Pont. 2,1	115	18		*28	–	(ante 30 September 1173-74)	1173-09-30	1174-09-30	Alexander III.	Alexander III.	Welf VI.			b) elenchus personarum, quae romanis pontificibus litteras miserunt
289	Germ.Pont. 2,1	74	12		29	–	[1177]	1177-01-01	1177-12-31	Alexander III.	Alexander III.	Äbte von Ottobeuren und Altenburg sowie sowie der Probst von Raitenbuch			b) elenchus personarum, quae romanis pontificibus litteras miserunt
290	Germ.Pont. 2,2	129	7		223	Paris	18 März (1163)	1163-03-18	1163-03-18	Alexander III.	Alexander III.	Amadeus von Turn, Bischof von Sitten und alle Kapitel von Sitten		10836	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
291	Germ.Pont. 2,2	130	1		223	Paris	18 März (1163)	1163-03-18	1163-03-18	Alexander III.	Alexander III.	Amadeus von Turn, Bischof von Sitten und alle Kapitel von Sitten		10836	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
292	Germ.Pont. 2,2	134	4		223	Paris	13 August (1163)	1163-08-13	1163-08-13	Alexander III.	Alexander III.	Amadeus von Turn, Bischof von Sitten und alle Kapitel von Sitten		10836	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
293	Germ.Pont. 2,2	157	1		224	Bourges	12 Mai 1165	1165-05-12	1165-05-12	Alexander III.	Alexander III.	Johannes, Abt des Klosters von Bonmont		11188	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
294	Germ.Pont. 2,2	175	2		225	Anagni	31 März 1173	1173-03-31	1173-03-31	Alexander III.	Alexander III.	Kanoniker von St. Maire de Lausanne		12217	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
295	Germ.Pont. 2,2	179	1		226	Ferrara	25 April 1177	1177-04-25	1177-04-25	Alexander III.	Alexander III.	Johannes, Abt von Montheron		12807	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
296	Germ.Pont. 2,2	176	2		227	Ferrara	04 Mai 1177	1177-05-04	1177-05-04	Alexander III.	Alexander III.	Petrus, Prior von St. Maire de Lausanne		*12825	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
297	Germ.Pont. 2,2	134	5		228	Venezia Rialto	18 Juni 1177	1177-06-18	1177-06-18	Alexander III.	Alexander III.	Wilhelm, Leiter des Hospizes von St. Nikolai und St. Bernhard von Mont-Joux (Hospiz auf dem Großen St. Bernhard)		12872	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
298	Germ.Pont. 2,2	198	3		229	Venezia	29 September 1177	1177-09-29	1177-09-29	Alexander III.	Alexander III.	Galtero, Abt des Klosters am Lac de Joux		12943	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
299	Germ.Pont. 2,2	95	34	*	*230	–	[1177]	1177-01-01	1177-12-31	Alexander III.	Alexander III.	electus Udalricus (Ulrich) Curien. (Chur)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
300	Germ.Pont. 2,2	173	20	*	*231	–	(1177 ex.-1178 in.)	1177-01-01	1178-12-31	Alexander III.	Alexander III., Landri de Durnes/ Landrich von Dornach, Bischof von Lausanne	Empfänger?	Anklage gegen den Bischof von Lausanne, aber dieser steht vorangestellt im Nominativ	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
301	Germ.Pont. 2,2	123	4		232	Tusculanum	18 Oktober 1178	1178-10-18	1178-10-18	Alexander III.	Alexander III.	Gebhard von Ottobeuren, Abt des Klosters Marienberg in Burgeis		13108	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
302	Germ.Pont. 2,2	44	2		233	Tusculanum	24 Oktober 1178	1178-10-24	1178-10-24	Alexander III.	Alexander III.	Burkard, Abt von St. Johannes im Thurtal		13110	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
303	Germ.Pont. 2,2	117	1		234	Tusculanum	24 Oktober 1178	1178-10-24	1178-10-24	Alexander III.	Alexander III.	Adelheid, Äbtissin des Klosters von St. Sebastian in Schänis		13109	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
304	Germ.Pont. 2,2	134	6		235	Laterano	(1161-79)	1161-01-01	1179-12-31	Alexander III.	Alexander III.	Probst und die Brüder von Mont-Joux (Großer St. Bernhard)		13230	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
305	Germ.Pont. 2,2	227	24	+	†236	Laterano	14 März (1166-79)	1166-03-14	1179-03-14	Alexander III.	Alexander III.	Bischof von Basel (Ludwig II. von Frohburg?) und der ganze ehrenhafte Chor		13186	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
306	Germ.Pont. 2,2	236	3	+	†236	Laterano	14 März (1166-79)	1166-03-14	1179-03-14	Alexander III.	Alexander III.	Bischof von Basel (Ludwig II. von Frohburg?) und der ganze ehrenhafte Chor		13186	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
307	Germ.Pont. 2,2	212	1	+	†237	Laterano	27 Februar 1179	1179-02-27	1179-02-27	Alexander III.	Alexander III.	Kanoniker von St. Immer/ Imier		13306	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
308	Germ.Pont. 2,2	247	4		238	Laterano	27 Februar 1179	1179-02-27	1179-02-27	Alexander III.	Alexander III.	Heinrich, Probst von St. Germanus in Münster-Granfelden (Moutier-Grandval)		13307	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
309	Germ.Pont. 2,2	145	17		239	Laterano	14 März 1179	1179-03-14	1179-03-14	Alexander III.	Alexander III.	Wilhelm, Abt von Saint-Maurice d’Agaune en Valais (St. Moritz in Wallis)		13324	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
310	Germ.Pont. 2,2	54	4		240	Laterano	18 März 1179	1179-03-18	1179-03-18	Alexander III.	Alexander III.	Anselm, Abt von St. Martin in Muri(-Gries)		13331	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
311	Germ.Pont. 2,2	254	3		241	Laterano	24 März 1179	1179-03-24	1179-03-24	Alexander III.	Alexander III.	Hugo, Probst in St. Ursitz (Saint Ursanne)		13341	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
312	Germ.Pont. 2,2	227	25	*	*242	(Laterano)	(März-April 1179)	1179-03-01	1179-04-30	Alexander III.	Alexander III.	Ludwig II. von Frohburg, Bischof von Basel	untypischer Fall - Beschluss Alexanders auf dem Lateranenkonzil	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
313	Germ.Pont. 2,2	19	23		243	Laterano	25 Mai 1179	1179-05-25	1179-05-25	Alexander III.	Alexander III.	Nogger, Abt in Schaffhausen		13423	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
314	Germ.Pont. 2,2	173	21		244	Anagni	17 Oktober 1179	1179-10-17	1179-10-17	Alexander III.	Alexander III.	Roger de Vico Pisano, Bischof von Lausanne		13475	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
315	Germ.Pont. 2,2	183	2		245	–	17 Oktober 1179	1179-10-17	1179-10-17	Alexander III.	Alexander III.	Martin, Abt in Humilimont-Marsens, Anagni		13476	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
316	Germ.Pont. 2,2	227	26		246	Anagni	19 Oktober (1179)	1179-10-19	1179-10-19	Alexander III.	Alexander III.	Bischöfe, Äbte, Pröbste, Erzpriester, Priester, Erzdiakone und jeder dort angesiedelte in den Bistümern von Basel und Straßburg		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
317	Germ.Pont. 2,2	295	3		246	Anagni	19 Oktober (1179)	1179-10-19	1179-10-19	Alexander III.	Alexander III.	Bischöfe, Äbte, Pröbste, Erzpriester, Priester, Erzdiakone und jeder dort angesiedelte in den Bistümern von Basel und Straßburg		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
318	Germ.Pont. 2,2	296	4		247	Anagni	22 Oktober 1179	1179-10-22	1179-10-22	Alexander III.	Alexander III.	Konrad, Abt des Klosters der Jungfrau Maria in Pairis		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
