Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Notiz
405	It.Pont. 3	327	42		1076	Anagni	11 April 1176	1176-04-11	1176-04-11	Alexander III.	Alexander III.	Erzbischof Ubaldo (Lanfranch), Legat des apostolischen Stuhls etc.		12692	
406	It.Pont. 3	327	43		1077	Anagni	11 April 1176	1176-04-11	1176-04-11	Alexander III.	Alexander III.	Erzbischof Ubaldo (Lanfranch) etc.		12693	
407	It.Pont. 3	443	13		1078	Anagni	11 April [1176]	1176-04-11	1176-04-11	Alexander III.	Alexander III.	Propst und Mönche des Kloster St. Georg (Lucca)		12549, 12694	
408	It.Pont. 3	93	26		1080	Anagni	20 April 1176	1176-04-20	1176-04-20	Alexander III.	Alexander III.	Abt Jacobus etc.		12695	
409	It.Pont. 3	295	1		1081	Anagni	20 April 1176	1176-04-20	1176-04-20	Alexander III.	Alexander III.	Prior Johannes etc.		12696	
410	It.Pont. 3	28	4		1082	Anagni	30 April 1176	1176-04-30	1176-04-30	Alexander III.	Alexander III.	Abt Bernhard etc.		12702	
411	It.Pont. 3	275	1		1083	Anagni	30 April 1176	1176-04-30	1176-04-30	Alexander III.	Alexander III.	Abt Bernhard etc.		12703	
412	It.Pont. 3	466	3		1084	Anagni	31 Mai 1176	1176-05-31	1176-05-31	Alexander III.	Alexander III.	Leiter Massucius des Hospitals in Perpoli (D. Lucca)		12713	
413	It.Pont. 3	224	3		1085	Anagni	19 Juni 1176	1176-06-19	1176-06-19	Alexander III.	Alexander III.	Abt (Kloster St. Eugenius) etc.		12715	
414	It.Pont. 3	205	41		1086	Anagni	22 Juni 1176	1176-06-22	1176-06-22	Alexander III.	Alexander III.	(Gunterone) Erwählter (von Siena)		12718	
415	It.Pont. 3	110	26		1087	Anagni	12 Oktober [1176]	1176-10-12	1176-10-12	Alexander III.	Alexander III.	Abt und Brüder von Passiniano (Kloster St. Michele)		13153	
416	It.Pont. 3	77	18		1088	Anagni	12 Oktober [1176]	1176-10-12	1176-10-12	Alexander III.	Alexander III.	Bischof (Rodulfus) und Propst und Kanoniker von Fiesole		–	
417	It.Pont. 3	78	1		1088	Anagni	12 Oktober [1176]	1176-10-12	1176-10-12	Alexander III.	Alexander III.	Bischof (Rodulfus) und Propst und Kanoniker von Kirche St. Romulus Fiesole		–	
418	It.Pont. 3	110	27		1088	Anagni	12 Oktober [1176]	1176-10-12	1176-10-12	Alexander III.	Alexander III.	Bischof (Rodulfus) und Propst und Kanoniker von Fiesole		–	
419	It.Pont. 3	68	1		1089	Anagni	15 Oktober 1176	1176-10-15	1176-10-15	Alexander III.	Alexander III.	Prior Ugonus etc.		12736	
420	It.Pont. 3	211	4		1090	Anagni	02 November 1176	1176-11-02	1176-11-02	Alexander III.	Alexander III.	Priester Madius etc.		12738	
421	It.Pont. 3	383	7		1091	Anagni	21 November [1176]	1176-11-21	1176-11-21	Alexander III.	Alexander III.	Bischöfe von Segonen. (Sagone?) und Nebbio		12532	
422	It.Pont. 3	20	10		1092	Anagni	28 November 1176	1176-11-28	1176-11-28	Alexander III.	Alexander III.	Prior Bernard etc.		12742	
423	It.Pont. 3	70	3	*	*1093	–	[1159-1177]	1159-01-01	1177-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsbekräftigung)	–	
424	It.Pont. 3	127	16		1094	Siponto	20 Januar [1177]	1177-01-20	1177-01-20	Alexander III.	Alexander III.	Propst und Kanoniker		12768	
425	It.Pont. 3	447	10		1096	Ferrara	06 Mai 1177	1177-05-06	1177-05-06	Alexander III.	Alexander III.	Abt Rainer des Klosters St. Benedikt oberhalb von Padum etc.		12830	
426	It.Pont. 3	110	28		1097	Venezia	16 Mai [1177]	1177-05-16	1177-05-16	Alexander III.	Alexander III.	Propst und Erzdiakon von Siena		12839	
427	It.Pont. 3	214	12		1097	Venezia	16 Mai [1177]	1177-05-16	1177-05-16	Alexander III.	Alexander III.	Propst und Erzdiakon von Siena		12839	
428	It.Pont. 3	208	1		1098	Venezia	19 Mai 1177	1177-05-19	1177-05-19	Alexander III.	Alexander III.	Kleriker der Stadt Siena und deren burgorum etc.		12843	
429	It.Pont. 3	40	5		1099	Venezia	27 Mai [1177]	1177-05-27	1177-05-27	Alexander III.	Alexander III.	Abt Gibertus und die Brüder (des Klosters St. Salvi)		12848	
430	It.Pont. 3	70	4		1100	Venezia	31 Mai [1177]	1177-05-31	1177-05-31	Alexander III.	Alexander III.	Bischof (Gulio) und Propst von Florenz		12856	
431	It.Pont. 3	343	63	+	†1101	Venezia	11 Juni [1177]	1177-06-11	1177-06-11	Alexander III.	Alexander III.	P. Erzpriester und Kanoniker der Kirche und das Kloster St. Maria der Stadt Pisa		–	
432	It.Pont. 3	343	64	+	†1102	Venezia	30 Juni [1177]	1177-06-30	1177-06-30	Alexander III.	Alexander III.	P. Erzpriester und Kanoniker (des Klosters) St. Maria der Stadt Pisa		–	
433	It.Pont. 3	312	10		1103	Venezia	16 September [1177]	1177-09-16	1177-09-16	Alexander III.	Alexander III.	Abt Hugo und die Brüder des Kloster Abbazia dei Salvatore e Cirino		–	
434	It.Pont. 3	313	3		1103	Venezia	16 September [1177]	1177-09-16	1177-09-16	Alexander III.	Alexander III.	Abt Hugo und die Brüder des Kloster Abbazia dei Salvatore e Cirino		–	
435	It.Pont. 3	312	11		1104	Venezia	18 September [1177]	1177-09-18	1177-09-18	Alexander III.	Alexander III.	Abt Hugo des Kloster Abbazia dei Salvatore e Cirino		12937	
436	It.Pont. 3	462	4		1105	Anagni	20 Januar [1160-1178]	1160-01-20	1178-01-20	Alexander III.	Alexander III.	Leutpriester, Kaplane und der übrige Klerus des Klosters		12976	
437	It.Pont. 3	343	65		1106	Laterano	01 August [1166-1178]	1166-08-01	1178-08-01	Alexander III.	Alexander III.	Erzpriester und Magister Hermann apostolischer Subdiakon, Kanoniker der Kirche von Lucca		12994	
438	It.Pont. 3	368	1		1106	Laterano	01 August [1166-1178]	1166-08-01	1178-08-01	Alexander III.	Alexander III.	Erzpriester und Magister Hermann apostolischer Subdiakon, Kanoniker der Kirche von Lucca		12994	
439	It.Pont. 3	226	4		1107	Laterano	14 April 1178	1178-04-14	1178-04-14	Alexander III.	Alexander III.	Prior Radulfo etc.		13044	
440	It.Pont. 3	195	1		1108	Laterano	22 April 1178	1178-04-22	1178-04-22	Alexander III.	Alexander III.	Leutpriester Rodulfo etc. (St. Agatha in Asciano)		13053	
441	It.Pont. 3	4	15		1109	Tusculanum	21 September [1178]	1178-09-21	1178-09-21	Alexander III.	Alexander III.	Erzbischof von Pisa (Ubaldo Lanfranchi) und alle Bischöfe und Äbte, die in Tuscia (Etrurien) eingesetzt wurden		13097	
442	It.Pont. 3	328	44		1109	Tusculanum	23 September [1178]	1178-09-23	1178-09-23	Alexander III.	Alexander III.	Erzbischof von Pisa (Ubaldo Lanfranchi) und alle Bischöfe und Äbte, die in Tuscia (Etrurien) eingesetzt wurden		13097	
443	It.Pont. 3	78	19	*	*1110	–	[1178?]	1178-01-01	1178-12-31	Alexander III.	Alexander III.	kein direkter Empfänger, namentliche Bestätigung von Höfen, Lagern, Villen, Privilegien		–	
444	It.Pont. 3	139	21		1111	Laterano	17 März [1166-1179]	1166-03-17	1179-03-17	Alexander III.	Alexander III.	Propst des Stiftes St. Stephanus von Pratum		–	
445	It.Pont. 3	285	26		1112	Anagni	12 November [1173-1179]	1173-11-12	1179-11-12	Alexander III.	Alexander III.	alle Leutpriester und Kaplane des Bischofs von Volterra (Ugo Saladini)		–	
446	It.Pont. 3	37	9		1113	Laterano	[1178-17 Mai 1179]	1178-05-01	1179-05-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Bestätigung der Einigung zwischen Siena & Florenz	13228	
447	It.Pont. 3	217	6		1113	Laterano	[1178-17 Mai 1179]	1178-05-01	1179-05-31	Alexander III.	Alexander III.	Konsuln und Volk von Siena		13228	
448	It.Pont. 3	328	45	*	*1114	(Laterano)	[10 Juni 1178-1179]	1178-06-10	1179-06-10	Alexander III.	Alexander III.	Erzbischof von Pisa (Ubaldo Lanfranchi) (Auftragsübergabe)		–	
449	It.Pont. 3	344	66	*	*1114	(Laterano)	[10 Juni 1178-1179]	1178-06-10	1179-06-10	Alexander III.	Alexander III.	Erzbischof von Pisa (Ubaldo Lanfranchi) (Auftragsübergabe)		–	
450	It.Pont. 3	364	1	*	*1114	(Laterano)	[10 Juni 1178-1179]	1178-06-10	1179-06-10	Alexander III.	Alexander III.	Erzbischof von Pisa (Ubaldo Lanfranchi) (Auftragsübergabe)		–	
451	It.Pont. 3	344	67		1115	Laterano	10 Juni [1178-1179]	1178-06-10	1179-06-10	Alexander III.	Alexander III.	Erzpriester Villanus und Kanoniker		13236	
452	It.Pont. 3	364	2		1115	Laterano	10 Juni [1178-1179]	1178-06-10	1179-06-10	Alexander III.	Alexander III.	Erzpriester Villanus und die Kanoniker der Kirche von Pisa		13236	
453	It.Pont. 3	289	8	*	*1116	Laterano	[1178-1179]	1178-01-01	1179-12-31	Alexander III.	Alexander III.	Bischof Ugonus [= Ugo Saladini] sowie Erzpriester Ugo und die Kanoniker Matthäus, Lambertus und HIldebrandus  der Kirche St. Maria in Volterra (Auftragsübergabe)		–	
454	It.Pont. 3	162	4		1117	Tusculanum	02 Januar 1179	1179-01-02	1179-01-02	Alexander III.	Alexander III.	Abt Hominideus etc. (St. Flora e Lucilla)		13272	
455	It.Pont. 3	266	5		1118	Laterano	31 März 1179	1179-03-31	1179-03-31	Alexander III.	Alexander III.	Abt Strabus etc. (St. Laurentius)		13354	
456	It.Pont. 3	54	8		1119	Laterano	19 April 1179	1179-04-19	1179-04-19	Alexander III.	Alexander III.	Abt Ambrosius etc. (San Salvatore a Settimo)		13391	
457	It.Pont. 3	285	25		1120	Laterano	23 April 1179	1179-04-23	1179-04-23	Alexander III.	Alexander III.	Bischof Ugo (Saladini) etc.		13395	
458	It.Pont. 3	379	2		1121	Laterano	23 April 1179	1179-04-23	1179-04-23	Alexander III.	Alexander III.	Prior Hugo etc. (Kirche St. Maria a Fine)		13453	
459	It.Pont. 3	264	2		1122	Laterano	24 April 1179	1179-04-24	1179-04-24	Alexander III.	Alexander III.	Abt Ranerio etc. (Kloster St. Bartholomäus von Sextinga)		13168	
460	It.Pont. 3	353	2		1123	Laterano	18 Juni 1179	1179-06-18	1179-06-18	Alexander III.	Alexander III.	Priester Rainer etc.		–	
461	It.Pont. 3	229	7		1124	Anagni	20 Oktober 1179	1179-10-20	1179-10-20	Alexander III.	Alexander III.	Abt Lutherius etc. (Kloster St. Trinitatis & St. Mustiola in Torre)		–	
462	It.Pont. 3	207	7		†1125	Siena	November 1179	1179-11-01	1179-11-30	Alexander III.	Alexander III.	) kein direkter Empfänger (Weihung einer Kirche)		–	
463	It.Pont. 3	S.78	20		1127	–	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Erwählter und Propst		–	
464	It.Pont. 3	110	29		1127	–	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Erwählter und Propst der Kirche aus Fiesole		–	
465	It.Pont. 3	111	30		1128	–	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Propst und Erzdiakon von Siena und I. Priester der Kirche St. Christophorus (Siena)		–	
466	It.Pont. 3	218	7		1128	–	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Propst und Erzdiakon von Siena und I. Priester der Kirche St. Christophorus (Siena)		–	
467	It.Pont. 3	111	31		1129	–	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Prior von Alfiano		–	
468	It.Pont. 3	222	3		1129	–	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Prior von Alfiano		–	
469	It.Pont. 3	139	22		1130	Tusculanum	01 Oktober [1179-1180]	1179-10-01	1180-10-01	Alexander III.	Alexander III.	Propst und Kanoniker (St. Stefano von Prato)		–	
470	It.Pont. 3	394	42	*	*1131	–	[1179-1180]	1179-01-01	1180-12-31	Alexander III.	Alexander III.	Bischof (Guglielmo (I.)) Kanoniker und Konsule von Lucca		–	
471	It.Pont. 3	453	30	*	*1131	–	[1179-1180]	1179-01-01	1180-12-31	Alexander III.	Alexander III.	Bischof und Kanoniker und Konsule		–	
472	It.Pont. 3	464	2		1132	Velletri	01 März 1180	1180-03-01	1180-03-01	Alexander III.	Alexander III.	Prior Lambertus etc. (St. Michaelis ad Montem)		13634	
473	It.Pont. 3	435	116		1133	Velletri	05 März [1180]	1180-03-05	1180-03-05	Alexander III.	Alexander III.	Prior Jeronimus und die Brüder (Kirche St. Frediano)		13628	
474	It.Pont. 3	348	3		1134	Velletri	08 April 1180	1180-04-08	1180-04-08	Alexander III.	Alexander III.	Abt Zacharias etc. (Kloster St. Michaelis in Burgo)		13644	
475	It.Pont. 3	467	2		1135	Velletri	28 April 1180	1180-04-28	1180-04-28	Alexander III.	Alexander III.	Abt Benedikt (San Pietro Camaiore) etc.		13651	
476	It.Pont. 3	194	1		1136	Tusculanum	11 November 1180	1180-11-11	1180-11-11	Alexander III.	Alexander III.	Prokurator Peponus des Klosters St. Maria in Cicille etc.		13697	
477	It.Pont. 3	453	31	*	1137	–	[1180]	1180-01-01	1180-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Kirchenverbotsanordnung)	–	
478	It.Pont. 3	182	31	*	*1138	Tusculanum	03 April [1171-1181]	1171-04-03	1181-04-03	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Entscheidung)	–	
479	It.Pont. 3	436	117		1139	Tusculanum	04 Januar [1181]	1181-01-04	1181-01-04	Alexander III.	Alexander III.	Bischof Paulus [Paolo Scolari] von Palestrina und übrige, denen Dinge hinterlassen wurden		14356	
480	It.Pont. 3	182	32	*	*1140	Viterbo	14 Juli [1181]	1181-07-14	1181-07-14	Alexander III.	Alexander III.	Alexander III.	Abt und Brüder St. Maria von Trivio	–	
481	It.Pont. 3	192	5	+	†1141	Tusculanum	[1180-1181]	1180-01-01	1181-12-31	Alexander III.	Alexander III.	Abt Johannes etc. (Kloster St. Maria von Farneta)		–	
482	It.Pont. 3	475	7	*	*1142	–	[1179-1181]	1179-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof Lanfrancus von Fiesole		–	
483	It.Pont. 3	261	11	*	1144	–	[1174?-1181]	1174-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof Martino von Grosseto		–	
484	It.Pont. 3	291	2	*	1145	–	[1171-1181]	1171-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Freisprechung)	–	
485	It.Pont. 3	344	68		1146	–	[1170-1181]	1170-01-01	1181-12-31	Alexander III.	Alexander III.	Erzpriester Villanus und Kanoniker		14062	
486	It.Pont. 3	375	6		1146	–	[1170-1181]	1170-01-01	1181-12-31	Alexander III.	Alexander III.	Erzpriester Villanus und Kanoniker der Kirche von Pisa		14062	
487	It.Pont. 3	209	1	*	*1146	–	[1168-1181]	1168-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Freiheitsbestätigung Bischof Rainer von Siena + Kanoniker)	–	
488	It.Pont. 3	11	26		1148	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof von Florenz (Gulio)		13936	
489	It.Pont. 3	57	1		1148	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof von Florenz (Gulio)		13936	
490	It.Pont. 3	111	32		1149	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Abt Ugon etc.		14053	
491	It.Pont. 3	122	22		1150	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof, Propst, Erzpriester und Kapitel		14064	
492	It.Pont. 3	127	17		1150	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof, Propst, Erzpriester und Kapitel		14064	
493	It.Pont. 3	S.328	46		1151	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Erzbischof von Pisa (Villanus Villani/ Ubaldo Lanfranchi)		14061	
494	It.Pont. 3	394	43		1152	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof (von Luca)		14005	
495	It.Pont. 3	394	44		1153	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof (von Lucca)		14006	
496	It.Pont. 3	404	40		1154	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	G. Leiter und die Kanoniker		–	
497	It.Pont. 3	453	32		1154	–	1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	G. Leiter und die Kanoniker von Lucca		–	
498	It.Pont. 3	51	3	*	*1155	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
499	It.Pont. 3	56	2	*	*1156	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
500	It.Pont. 3	123	23		*1157	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
501	It.Pont. 3	182	33	*	*1158	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Beschluss)	–	
502	It.Pont. 3	187	2	*	*1159	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
503	It.Pont. 3	189	2	*	*1160	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
504	It.Pont. 3	192	6	*	*1161	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Urteilsverkündung)	–	
505	It.Pont. 3	205	43	*	*1162	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
506	It.Pont. 3	207	8	*	*1163	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
507	It.Pont. 3	249	10	*	*1164	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
508	It.Pont. 3	253	4	*	*1165	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Erwiderung wie Nr. *2, S. 253)	–	
509	It.Pont. 3	274	6	*	*1166	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Rechtsgestattung)	–	
510	It.Pont. 3	297	4	*	*1167	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
511	It.Pont. 3	307	12	*	*1168	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
512	It.Pont. 3	344	69	*	*1169	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Schutzprivilegsvergabe)	–	
513	It.Pont. 3	366	5	*	*1170	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
514	It.Pont. 3	367	2	*	*1171	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
515	It.Pont. 3	372	3		*1172	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	kein direkter Empfänger (Privilegsvergabe)	(kein direkter Empfänger)	(Privilegsvergabe)	–	
516	It.Pont. 3	405	41	*	*1173	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Kanoniker	(Privilegsvergabe)	–	
517	It.Pont. 3	408	5	*	*1174	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Schutzprivilegsvergabe)	–	
518	It.Pont. 3	463	1	*	*1175	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Schutzprivilegsvergabe)	–	
519	It.Pont. 3	475	8	*	*1176	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Schutzprivilegsvergabe)	–	
520	It.Pont. 3	480	10	*	*1177	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Schutzprivilegsvergabe)	–	
521	It.Pont. 3	481	1	*	*1178	–	[11159-1181]	1181-01-01	1181-12-31	Alexander III.	Alexander III.	Lehrer und Brüder des Spitals von Ficulle		–	
522	It.Pont. 3	487	1	*	*1179	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Privilegsvergabe)	–	
523	It.Pont. 3	487	2	*	*1180	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	(Bestattungsprivilegsvergabe)	–	
524	It.Pont. 3	180	19		821	Rom St. Peter	17 Mai 1153	1153-05-17	1153-05-17	Eugen III.	Eugen III.	Prior Rodulpho etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9731	
525	It.Pont. 3	246	1		825	Rom S. Peter	13 Juni 1153	1153-06-13	1153-06-13	Eugen III.	Eugen III.	Abt Actonus etc.	Rolandus, Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9730	
526	It.Pont. 3	242	15		826	Rom St. Peter	20 Juni 1153	1153-06-20	1153-06-20	Eugen III.	Eugen III.	Abt Rainerio etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9732	
527	It.Pont. 3	408	3		844	Laterano	07 Oktober 1153	1153-10-07	1153-10-07	Anastasius IV.	Anastasius IV.	Prior Sigismund etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9747	
528	It.Pont. 3	242	16		845	Laterano	23 Oktober 1153	1153-10-23	1153-10-23	Anastasius IV.	Anastasius IV.	Abt Rainer etc.		9748	
529	It.Pont. 3	242	17		846	Laterano	23 Oktober 1153	1153-10-23	1153-10-23	Anastasius IV.	Anastasius IV.	Abt Rainer etc.		9749	
530	It.Pont. 3	249	8		848	Rom S. Maria Rotonda	31 Oktober 1153	1153-10-31	1153-10-31	Anastasius IV.	Anastasius IV.	Abt Guido etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9754	
531	It.Pont. 3	92	18		849	Laterano	22 November 1153	1153-11-22	1153-11-22	Anastasius IV.	Anastasius IV.	Abt Ambrosius etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9757	
532	It.Pont. 3	403	33		850	Laterano	26 November 1153	1153-11-26	1153-11-26	Anastasius IV.	Anastasius IV.	Erzpriester Petrus etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9758	
533	It.Pont. 3	352	3		851	Laterano	02 Dezember 1153	1153-12-02	1153-12-02	Anastasius IV.	Anastasius IV.	Prior Leonus etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9762	
534	It.Pont. 3	307	10		854	Laterano	07 Dezember 1153	1153-12-07	1153-12-07	Anastasius IV.	Anastasius IV.	Erzpriester Rogerius des Volkes von Colle di Val-d´Elsa etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9767	
535	It.Pont. 3	76	11		855	Laterano	31 Dezember 1153	1153-12-31	1153-12-31	Anastasius IV.	Anastasius IV.	Bischof Rodulfus (von Fiesole) etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9794	
536	It.Pont. 3	159	8		856	Laterano	12 Januar 1154	1154-01-12	1154-01-12	Anastasius IV.	Anastasius IV.	Propst Roland etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9815	in der Tabelle ist S. 158 gelistet, aber Regest ist erst auf S. 159 zu finden
537	It.Pont. 3	187	1		857	Laterano	13 Januar 1154	1154-01-13	1154-01-13	Anastasius IV.	Anastasius IV.	Abt Saxonus etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9816	
538	It.Pont. 3	21	1		862	Laterano	25 Januar 1154	1154-01-25	1154-01-25	Anastasius IV.	Anastasius IV.	Prior Bono etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	–	
539	It.Pont. 3	16	15		864	Laterano	03 Februar 1154	1154-02-03	1154-02-03	Anastasius IV.	Anastasius IV.	Propst Albertus etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9826	
540	It.Pont. 3	126	12		865	Laterano	08 Februar 1154	1154-02-08	1154-02-08	Anastasius IV.	Anastasius IV.	Propst Vernus etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9828	
541	It.Pont. 3	126	13		866	Laterano	08 Februar 1154	1154-02-08	1154-02-08	Anastasius IV.	Anastasius IV.	Propst Vernus etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9829	
542	It.Pont. 3	122	19		868	Laterano	14 Februar 1154	1154-02-14	1154-02-14	Anastasius IV.	Anastasius IV.	Bischof Tracio (von Pistoia)	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9834	
543	It.Pont. 3	379	1		870	Laterano	25 April 1154	1154-04-25	1154-04-25	Anastasius IV.	Anastasius IV.	Prior Ciprianus der Gemeinde St. Maria ad Finem etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9878	
544	It.Pont. 3	288	5		871	Laterano	25 Mai 1154	1154-05-25	1154-05-25	Anastasius IV.	Anastasius IV.	Erzpriester Hugo etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9908	
545	It.Pont. 3	162	2	*	*873	–	[1154]	1154-01-01	1154-12-31	Anastasius IV.	Kein direkter Aussteller	(kein direkter Empfänger)	in Anwesenheit des Bischofs von Porto Cencius, von Rolandus, Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche), und Otto Kardinaldiakon,  jene helfenden Richter Schatzmeister Gregorius von Primicerius und Gregorius Coranus,  auf Befehl von Anastasius IV.	–	
546	It.Pont. 3	162	3		874	Laterano	30 Mai 1154	1154-05-30	1154-05-30	Anastasius IV.	Anastasius IV.	Prior Rodulfo von Camaldoli etc.	Rolandus, S.R.E Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9910, 9911, 9915	
